origin,destination,count
MCO_1,BWI_2,16468
IAD_1,BWI_2,92
MCO_1,BOS_2,18084
CLT_1,STL_2,6893
STL_1,LAS_2,13359
IAD_1,CLE_2,2753
MCO_1,ATL_2,72431
LGA_1,TPA_2,18841
LGA_1,STL_2,18130
CLT_1,TPA_2,13572
LGA_1,PIT_2,19335
IAD_1,CLT_2,22
STL_1,LAX_2,21248
LGA_1,PHL_2,203
DFW_1,MIA_2,28808
LGA_1,BWI_2,7367
EWR_1,PHX_2,8127
STL_1,DCA_2,21720
CLE_1,MCO_2,11055
TPA_1,MSP_2,9162
MSP_1,IND_2,6526
MSP_1,IAH_2,5842
MSP_1,IAD_2,3057
DFW_1,SFO_2,39710
EWR_1,LAS_2,5049
ATL_1,PIT_2,26165
MSP_1,EWR_2,11336
MSP_1,DTW_2,30859
CLE_1,MIA_2,4078
SLC_1,STL_2,9253
EWR_1,LAX_2,27469
MSP_1,DFW_2,18203
MSP_1,DCA_2,14239
CLE_1,MSP_2,8612
MSP_1,CVG_2,7463
MSP_1,CLT_2,3438
MSP_1,CLE_2,8049
STL_1,ATL_2,25580
CLE_1,ORD_2,29011
MSP_1,BWI_2,3303
MSP_1,BOS_2,16649
DFW_1,SEA_2,24517
EWR_1,LGA_2,166
CLE_1,PHL_2,11435
MSP_1,ATL_2,15549
MSP_1,JFK_2,3167
MSP_1,LAS_2,19261
MSP_1,LAX_2,31815
SLC_1,SFO_2,15273
CLE_1,IAD_2,2723
ORD_1,ATL_2,53586
MSP_1,TPA_2,10134
CLE_1,IAH_2,7179
SLC_1,PHX_2,20038
MSP_1,STL_2,13971
MSP_1,SLC_2,15492
MSP_1,SFO_2,21678
DFW_1,SLC_2,28802
EWR_1,IAH_2,18319
CLE_1,IND_2,7732
MSP_1,SEA_2,21495
ATL_1,SEA_2,16982
MIA_1,TPA_2,30447
MSP_1,PIT_2,7811
EWR_1,IND_2,2567
MSP_1,PHX_2,33324
MSP_1,PHL_2,9205
MSP_1,ORD_2,49927
CLE_1,LAS_2,3876
SLC_1,SEA_2,15314
EWR_1,JFK_2,518
MSP_1,MIA_2,9965
MSP_1,MEM_2,20885
CLE_1,LAX_2,8259
MSP_1,MCO_2,13430
MSP_1,LGA_2,17325
CLE_1,LGA_2,14028
CLE_1,JFK_2,6001
MEM_1,PHL_2,4420
MIA_1,STL_2,16099
EWR_1,MCO_2,28949
MIA_1,DCA_2,27602
MIA_1,CVG_2,6373
CLT_1,BWI_2,12192
STL_1,CLT_2,6499
MIA_1,CLT_2,13560
MIA_1,CLE_2,4340
CLT_1,CLE_2,7348
DFW_1,PHX_2,36312
EWR_1,ORD_2,51116
MIA_1,BWI_2,8790
MIA_1,BOS_2,26698
STL_1,CVG_2,5981
MIA_1,ATL_2,71388
CLT_1,CVG_2,3555
MEM_1,TPA_2,6216
CLT_1,DCA_2,14650
TPA_1,MEM_2,6817
MEM_1,STL_2,7901
MEM_1,SFO_2,7388
EWR_1,PHL_2,86
ATL_1,CLT_2,29474
MEM_1,SEA_2,2596
CLT_1,DFW_2,16546
MEM_1,PIT_2,3202
ATL_1,ORD_2,56966
MEM_1,PHX_2,3871
CLT_1,DTW_2,8254
CLT_1,BOS_2,13663
MIA_1,DFW_2,33737
ATL_1,PHL_2,37034
MIA_1,DTW_2,12152
MIA_1,SFO_2,6423
MIA_1,SEA_2,0
CLE_1,PIT_2,10520
ATL_1,PHX_2,13786
STL_1,BOS_2,14236
MIA_1,PIT_2,5869
MIA_1,PHL_2,26233
MIA_1,ORD_2,30483
MIA_1,MSP_2,9674
TPA_1,MIA_2,30620
EWR_1,MEM_2,3046
CLE_1,SFO_2,6236
MIA_1,MEM_2,7195
CLE_1,PHX_2,4251
STL_1,BWI_2,8711
MIA_1,LGA_2,70641
CLE_1,STL_2,7101
MIA_1,LAX_2,32660
MIA_1,JFK_2,37868
STL_1,CLE_2,6609
CLE_1,TPA_2,5444
DFW_1,PIT_2,13736
EWR_1,MIA_2,26558
MIA_1,IAH_2,22600
MIA_1,IAD_2,6803
CLT_1,ATL_2,30748
MIA_1,EWR_2,29865
EWR_1,MSP_2,12065
MIA_1,MCO_2,43221
ORD_1,BOS_2,43033
CVG_1,DTW_2,10990
LGA_1,BOS_2,78964
IND_1,TPA_2,4580
IND_1,STL_2,19004
IND_1,SFO_2,1937
IND_1,PIT_2,8993
ATL_1,IAD_2,14564
DFW_1,IAD_2,17289
IAD_1,STL_2,4523
IND_1,PHX_2,5302
DCA_1,LGA_2,65502
IND_1,PHL_2,6719
IND_1,ORD_2,19612
IND_1,MSP_2,5640
DCA_1,MCO_2,11887
IAD_1,TPA_2,6458
TPA_1,CLT_2,15677
IND_1,MEM_2,5307
DCA_1,MEM_2,7460
IND_1,MCO_2,5610
IAH_1,ATL_2,21671
IND_1,LGA_2,4325
IND_1,LAX_2,5139
DCA_1,MIA_2,21500
TPA_1,CVG_2,7371
IND_1,LAS_2,3246
IND_1,JFK_2,1714
DCA_1,MSP_2,13736
IND_1,IAH_2,3942
DCA_1,JFK_2,12602
TPA_1,CLE_2,5409
JFK_1,ATL_2,4458
JFK_1,BOS_2,15897
JFK_1,MCO_2,12760
JFK_1,LGA_2,54
ATL_1,DCA_2,45580
JFK_1,LAX_2,87297
DCA_1,DFW_2,26333
JFK_1,LAS_2,7804
JFK_1,IND_2,1838
JFK_1,IAH_2,7079
DCA_1,DTW_2,15530
IAD_1,SEA_2,3063
JFK_1,IAD_2,1351
ATL_1,IAH_2,21591
DCA_1,EWR_2,21529
IND_1,IAD_2,1295
TPA_1,BOS_2,8511
JFK_1,DFW_2,10163
JFK_1,DCA_2,15059
DCA_1,IAD_2,136
JFK_1,CVG_2,3032
DFW_1,IAH_2,58732
IAD_1,SFO_2,21117
JFK_1,CLT_2,2398
DCA_1,IAH_2,11542
TPA_1,BWI_2,11296
JFK_1,CLE_2,7224
JFK_1,BWI_2,2457
DCA_1,IND_2,6471
IAD_1,SLC_2,6133
JFK_1,DTW_2,8303
TPA_1,ATL_2,53070
IND_1,EWR_2,2182
ATL_1,EWR_2,40439
TPA_1,DTW_2,13954
IAH_1,PHL_2,11050
IAH_1,ORD_2,23466
IAH_1,MSP_2,5846
DFW_1,BOS_2,24534
IAH_1,MIA_2,19705
TPA_1,EWR_2,17531
IAH_1,MEM_2,2931
IAH_1,MCO_2,12401
DFW_1,BWI_2,12886
TPA_1,IAH_2,9854
IAH_1,LGA_2,13856
IAH_1,LAX_2,28871
DFW_1,CLE_2,7142
TPA_1,IAD_2,6220
DFW_1,DCA_2,26358
IAH_1,CVG_2,10
IAH_1,LAS_2,7724
IAH_1,DCA_2,13614
IAH_1,JFK_2,6837
IAH_1,IND_2,3927
DFW_1,CLT_2,17291
IAH_1,IAD_2,2844
IAH_1,EWR_2,18138
IAH_1,DFW_2,57845
DFW_1,CVG_2,10453
ATL_1,DFW_2,60780
IAH_1,CLT_2,7489
DFW_1,ATL_2,61058
ATL_1,DTW_2,34314
IAH_1,PHX_2,16350
IND_1,DTW_2,12291
TPA_1,IND_2,4346
DFW_1,EWR_2,25077
IND_1,DFW_2,9297
IND_1,DCA_2,6988
IAH_1,BOS_2,6158
DCA_1,PHL_2,292
TPA_1,DCA_2,9694
IND_1,CVG_2,6843
IND_1,CLT_2,5990
DCA_1,PHX_2,81
IND_1,CLE_2,7170
IAH_1,BWI_2,3315
DCA_1,ORD_2,32915
IND_1,BWI_2,2523
IND_1,BOS_2,52
TPA_1,DFW_2,26074
IND_1,ATL_2,14257
IAH_1,TPA_2,8503
IAH_1,STL_2,5020
IAH_1,SLC_2,4178
DCA_1,STL_2,19737
IAH_1,SFO_2,19934
DFW_1,DTW_2,20763
IAH_1,CLE_2,7569
IAH_1,SEA_2,4258
DCA_1,TPA_2,9427
IAH_1,PIT_2,6312
DCA_1,PIT_2,13033
ATL_1,LGA_2,54254
IAD_1,PIT_2,7736
JFK_1,MIA_2,29814
LAX_1,JFK_2,85976
LAX_1,IND_2,4222
CVG_1,LGA_2,14269
LAX_1,IAH_2,26321
STL_1,ORD_2,38869
LAX_1,IAD_2,28161
LAX_1,EWR_2,27128
CVG_1,MCO_2,9655
LAX_1,DTW_2,21996
LAX_1,DFW_2,59251
LAX_1,DCA_2,75
CVG_1,MEM_2,2997
DFW_1,LAX_2,64548
IAD_1,LAX_2,28727
STL_1,PHL_2,12242
LAX_1,CVG_2,10341
LAX_1,CLT_2,9880
CVG_1,MIA_2,4779
LAX_1,CLE_2,9814
LAX_1,BWI_2,6392
LAX_1,BOS_2,22955
CVG_1,MSP_2,8740
TPA_1,LAX_2,5004
ATL_1,LAS_2,7413
IAD_1,LGA_2,10534
LAX_1,ATL_2,45236
LAS_1,STL_2,13331
IAD_1,JFK_2,3658
ATL_1,LAX_2,46690
CVG_1,LAX_2,8133
LAX_1,LAS_2,59723
LGA_1,ATL_2,54459
CVG_1,EWR_2,9047
DFW_1,MCO_2,33359
IAD_1,DTW_2,6599
STL_1,MEM_2,6724
LAX_1,TPA_2,5330
LAX_1,STL_2,17797
LAX_1,SLC_2,26231
CVG_1,IAD_2,104
IAD_1,EWR_2,7818
LAX_1,SFO_2,125204
LAX_1,SEA_2,44670
CVG_1,IAH_2,45
CVG_1,ORD_2,18222
STL_1,MIA_2,13983
LAX_1,PHX_2,93585
CVG_1,IND_2,6461
LAX_1,PHL_2,11004
LAX_1,ORD_2,75308
CVG_1,JFK_2,3372
DFW_1,LGA_2,42322
IAD_1,IAH_2,3034
STL_1,MSP_2,14419
LAX_1,MSP_2,30332
LAX_1,MIA_2,29833
LAX_1,MEM_2,10553
LAX_1,MCO_2,10381
IAD_1,IND_2,1643
LAX_1,PIT_2,12820
DCA_1,CVG_2,8747
STL_1,PHX_2,22336
IAD_1,MCO_2,9543
IAD_1,ORD_2,14704
LAS_1,CLE_2,3586
LAS_1,BWI_2,1616
CVG_1,TPA_2,6432
LAS_1,ATL_2,8396
DCA_1,ATL_2,41495
IAD_1,PHL_2,4055
STL_1,SLC_2,8937
JFK_1,TPA_2,7673
JFK_1,STL_2,7405
DCA_1,BOS_2,41586
JFK_1,SLC_2,5518
JFK_1,SFO_2,45498
ATL_1,IND_2,16178
JFK_1,SEA_2,8883
DCA_1,BWI_2,665
JFK_1,PIT_2,8393
DCA_1,CLE_2,11837
TPA_1,JFK_2,9638
JFK_1,PHX_2,12739
STL_1,TPA_2,11517
JFK_1,PHL_2,5241
DCA_1,CLT_2,14399
DFW_1,IND_2,9237
IAD_1,PHX_2,4618
JFK_1,ORD_2,9506
JFK_1,MSP_2,3149
DFW_1,JFK_2,10176
STL_1,SFO_2,13528
CVG_1,STL_2,6290
LAS_1,DFW_2,50352
LAS_1,SFO_2,17126
CVG_1,PHL_2,10897
LAS_1,SEA_2,7434
LAS_1,PIT_2,2470
LAS_1,PHX_2,80461
CVG_1,PHX_2,6885
STL_1,PIT_2,8800
LAS_1,PHL_2,3050
LAS_1,ORD_2,38506
CVG_1,PIT_2,9648
DFW_1,LAS_2,47445
IAD_1,MEM_2,10
LAS_1,MSP_2,17050
LAS_1,SLC_2,20766
IAD_1,MIA_2,6221
LAS_1,LGA_2,39
CVG_1,SEA_2,1995
LAS_1,LAX_2,60998
LAS_1,JFK_2,8403
LAS_1,IND_2,3556
IAD_1,MSP_2,2947
CVG_1,SFO_2,3832
ATL_1,JFK_2,4822
STL_1,SEA_2,5380
LAS_1,IAH_2,7784
LAS_1,EWR_2,5634
CVG_1,SLC_2,13312
LAS_1,DTW_2,13659
LAS_1,MEM_2,3242
ORD_1,BWI_2,20118
IAH_1,DTW_2,4986
PHX_1,MSP_2,26598
PHL_1,ORD_2,33681
ATL_1,TPA_2,52086
SFO_1,PHL_2,6396
PHL_1,MSP_2,8914
BOS_1,ORD_2,40257
PHL_1,MIA_2,21609
SLC_1,IAD_2,6110
SEA_1,CLT_2,1438
SEA_1,ATL_2,21000
PHL_1,MEM_2,4266
BWI_1,MIA_2,7475
DTW_1,BOS_2,19637
BOS_1,MSP_2,16734
PHL_1,MCO_2,25460
SEA_1,DFW_2,20329
PHL_1,LGA_2,1289
PHL_1,LAX_2,11554
BWI_1,MSP_2,3339
SEA_1,CVG_2,2117
EWR_1,ATL_2,38995
PIT_1,TPA_2,8719
BWI_1,MCO_2,18158
DTW_1,STL_2,18424
PIT_1,PHX_2,8858
SLC_1,DFW_2,29850
PHX_1,ATL_2,14256
BOS_1,CLT_2,13821
PHL_1,TPA_2,14473
BWI_1,LAX_2,6929
PIT_1,SEA_2,6025
PIT_1,SFO_2,11045
PHL_1,STL_2,12972
DTW_1,TPA_2,13728
PHL_1,SFO_2,6229
BWI_1,LGA_2,8683
BOS_1,PHL_2,34565
DTW_1,MEM_2,12717
DTW_1,DCA_2,17487
PHL_1,PIT_2,23659
PIT_1,STL_2,8858
PHL_1,PHX_2,5182
SLC_1,IAH_2,3684
TPA_1,STL_2,11681
DTW_1,MCO_2,18553
PIT_1,CLE_2,9990
PHL_1,DFW_2,18806
PHL_1,DCA_2,30
DTW_1,LAX_2,18858
DTW_1,DFW_2,22287
PHL_1,CVG_2,10110
BOS_1,MCO_2,17427
SEA_1,LAX_2,42630
BWI_1,PIT_2,13098
ATL_1,STL_2,25189
SLC_1,JFK_2,6499
DTW_1,ATL_2,31787
EWR_1,CLE_2,11981
PHL_1,CLT_2,16353
SFO_1,MSP_2,20012
PHL_1,CLE_2,11685
PHL_1,BWI_2,2588
BOS_1,LGA_2,73815
SEA_1,MSP_2,20662
SEA_1,MEM_2,3955
SEA_1,LAS_2,7582
BWI_1,PHX_2,9432
SEA_1,JFK_2,8970
TPA_1,PHL_2,13872
PHL_1,LAS_2,2443
PHL_1,JFK_2,6521
EWR_1,BOS_2,39285
BOS_1,MIA_2,19205
SEA_1,EWR_2,2792
BWI_1,ORD_2,19821
PHL_1,IND_2,5821
SEA_1,IAD_2,4245
PHL_1,IAH_2,10383
SEA_1,IAH_2,3997
DTW_1,LGA_2,22231
PHL_1,IAD_2,3648
BWI_1,PHL_2,1605
EWR_1,BWI_2,7189
BOS_1,MEM_2,4032
BOS_1,CVG_2,8527
PHL_1,EWR_2,397
PHL_1,DTW_2,15536
SFO_1,ORD_2,52715
BWI_1,LAS_2,1079
PHX_1,BOS_2,7
TPA_1,SFO_2,103
BOS_1,BWI_2,17968
PIT_1,EWR_2,18158
PHX_1,SEA_2,10400
BWI_1,DCA_2,165
DTW_1,PIT_2,13644
ATL_1,BWI_2,23208
BOS_1,CLE_2,8053
PHX_1,PIT_2,8460
SFO_1,SEA_2,45214
DTW_1,ORD_2,53456
BWI_1,DFW_2,13185
BOS_1,TPA_2,7901
PIT_1,IAD_2,7137
PHX_1,ORD_2,41771
SLC_1,ATL_2,21295
PIT_1,IAH_2,6360
EWR_1,IAD_2,8023
PHX_1,MEM_2,4539
PHX_1,PHL_2,5266
PHX_1,SFO_2,23714
PIT_1,DTW_2,15015
BWI_1,CVG_2,3185
BWI_1,CLE_2,7510
PIT_1,CLT_2,11708
TPA_1,PIT_2,6786
SFO_1,SLC_2,13637
PIT_1,BWI_2,12736
BWI_1,BOS_2,17336
PIT_1,BOS_2,13891
PIT_1,CVG_2,10780
SFO_1,STL_2,10855
PIT_1,DCA_2,13213
PIT_1,ATL_2,25543
BWI_1,CLT_2,12436
DTW_1,CLT_2,7494
BWI_1,ATL_2,22164
PHX_1,STL_2,17447
PIT_1,DFW_2,14296
DTW_1,PHX_2,18980
DTW_1,PHL_2,16629
PHX_1,SLC_2,19850
BWI_1,DTW_2,9493
BOS_1,STL_2,14438
PIT_1,IND_2,10398
PIT_1,JFK_2,7245
PHX_1,EWR_2,6913
BOS_1,ATL_2,37853
PIT_1,MIA_2,5471
PHX_1,DTW_2,18263
BWI_1,IND_2,3106
PIT_1,MSP_2,7611
DTW_1,MIA_2,11952
PHX_1,DFW_2,37233
PHX_1,CVG_2,4257
SFO_1,PHX_2,24001
SLC_1,CVG_2,14136
PIT_1,ORD_2,23896
BWI_1,JFK_2,3008
PHX_1,CLT_2,4946
BOS_1,PIT_2,12647
PHX_1,CLE_2,4284
PIT_1,PHL_2,23543
DTW_1,BWI_2,10613
PHX_1,BWI_2,8907
PIT_1,MEM_2,2983
PHL_1,BOS_2,37911
DTW_1,SFO_2,15596
BWI_1,IAH_2,2980
DTW_1,MSP_2,30486
PHX_1,LAX_2,95801
DTW_1,CVG_2,10895
BWI_1,EWR_2,7450
PIT_1,LAS_2,3595
SLC_1,BOS_2,6724
PHX_1,LAS_2,86967
BOS_1,SLC_2,6111
PHX_1,JFK_2,12320
PIT_1,LAX_2,13919
DTW_1,CLE_2,9029
DTW_1,SEA_2,7888
PIT_1,LGA_2,19716
PHX_1,IND_2,5286
BWI_1,IAD_2,98
PHX_1,IAH_2,15445
SFO_1,PIT_2,10078
PHX_1,IAD_2,5055
BOS_1,SFO_2,12214
PIT_1,MCO_2,14257
SLC_1,LAS_2,20512
SEA_1,DTW_2,9774
DTW_1,EWR_2,20978
ORD_1,MIA_2,26474
CLE_1,DTW_2,9191
ORD_1,SEA_2,37810
ATL_1,CLE_2,17923
BOS_1,EWR_2,35517
CLE_1,DFW_2,7604
SEA_1,SFO_2,44315
SFO_1,LAX_2,124942
BOS_1,DTW_2,18454
SEA_1,STL_2,5595
ORD_1,MCO_2,30348
SFO_1,MCO_2,40
BOS_1,LAS_2,133
DTW_1,IAD_2,5579
ORD_1,MSP_2,47458
DFW_1,STL_2,23988
SFO_1,BOS_2,11921
SLC_1,LAX_2,28933
BOS_1,IAH_2,5462
SFO_1,LGA_2,0
ORD_1,IND_2,18999
SEA_1,SLC_2,12820
EWR_1,DCA_2,22514
ORD_1,DCA_2,35939
ATL_1,SLC_2,26671
SFO_1,IAD_2,21197
CLE_1,BWI_2,7042
BOS_1,DCA_2,42719
ATL_1,SFO_2,25597
DTW_1,JFK_2,7383
SLC_1,MCO_2,5099
BOS_1,JFK_2,13345
ORD_1,PHX_2,46009
SFO_1,IAH_2,17872
CLE_1,DCA_2,11695
TPA_1,ORD_2,17714
SFO_1,MEM_2,6612
SFO_1,EWR_2,16091
ORD_1,DFW_2,46535
ORD_1,PHL_2,32610
CLE_1,ATL_2,16514
ORD_1,IAD_2,15941
SFO_1,CLE_2,6477
ORD_1,PIT_2,21722
ORD_1,IAH_2,21450
EWR_1,DTW_2,20630
ORD_1,CVG_2,17023
ORD_1,MEM_2,14199
BWI_1,TPA_2,9963
DTW_1,LAS_2,12083
SFO_1,DFW_2,39187
SFO_1,LAS_2,15707
ORD_1,CLE_2,26970
SEA_1,PHX_2,12256
EWR_1,CVG_2,8285
ORD_1,TPA_2,16973
ORD_1,EWR_2,49233
CLE_1,CVG_2,7031
BOS_1,IND_2,3
ORD_1,JFK_2,9002
ORD_1,LAS_2,37704
DTW_1,IND_2,13417
PHL_1,ATL_2,37233
EWR_1,CLT_2,15753
CLE_1,EWR_2,12419
CLE_1,BOS_2,10147
EWR_1,DFW_2,26152
BOS_1,DFW_2,29556
BOS_1,IAD_2,10685
BOS_1,LAX_2,20210
SLC_1,MSP_2,13984
ORD_1,STL_2,39073
CLE_1,CLT_2,6666
SFO_1,IND_2,2370
SLC_1,ORD_2,22386
DFW_1,TPA_2,25429
SEA_1,ORD_2,33094
ORD_1,SFO_2,55187
SEA_1,PIT_2,6377
ORD_1,LGA_2,60971
SFO_1,JFK_2,46847
SFO_1,CLT_2,7332
ORD_1,SLC_2,20502
SFO_1,DTW_2,15833
ORD_1,DTW_2,56098
ORD_1,LAX_2,75678
SFO_1,MIA_2,6261
SFO_1,CVG_2,4263
DTW_1,IAH_2,4644
BWI_1,STL_2,8997
SFO_1,ATL_2,27516
ORD_1,CLT_2,16027
LAS_2,LAX_3,58101
BOS_2,SLC_3,6877
CVG_2,SEA_3,1422
LAS_2,IND_3,3612
PIT_2,LAX_3,13914
LAS_2,JFK_3,8143
IAH_2,MIA_3,19295
SFO_2,EWR_3,16336
IAH_2,ORD_3,19203
SFO_2,LGA_3,21
PIT_2,MSP_3,6102
LAS_2,BWI_3,1518
LAS_2,CLE_3,3764
PIT_2,MIA_3,6137
SFO_2,DFW_3,35973
STL_2,SFO_3,11562
PIT_2,MEM_3,2522
CVG_2,STL_3,6165
DFW_2,ATL_3,55159
PIT_2,MCO_3,18691
TPA_2,DTW_3,13679
LAS_2,DFW_3,47042
DFW_2,BOS_3,24747
IAH_2,PHL_3,10056
CVG_2,SLC_3,13261
BOS_2,SFO_3,11431
PIT_2,LAS_3,3153
LAS_2,EWR_3,4992
SFO_2,DTW_3,12368
LAS_2,IAH_3,7654
STL_2,SEA_3,3727
SFO_2,PIT_3,9137
PIT_2,LGA_3,17130
ATL_2,JFK_3,4439
IAH_2,MSP_3,5746
CVG_2,SFO_3,3389
LAS_2,DTW_3,12436
TPA_2,EWR_3,19596
IND_2,LGA_3,4716
PIT_2,JFK_3,5320
PIT_2,DCA_3,12142
CVG_2,MIA_3,5072
BWI_2,ATL_3,23509
LAX_2,BWI_3,6124
DFW_2,CLT_3,14031
LAX_2,BOS_3,19596
LAX_2,CLE_3,8375
SFO_2,IND_3,2275
PIT_2,DFW_3,12686
CVG_2,MSP_3,7131
ATL_2,LAS_3,7288
PIT_2,DTW_3,12919
IAH_2,JFK_3,6026
LAX_2,ATL_3,44064
IAH_2,IND_3,4145
SFO_2,SEA_3,43615
IAH_2,IAD_3,2726
LAX_2,CLT_3,8991
LAX_2,DTW_3,16551
ATL_2,DFW_3,54827
LAX_2,DFW_3,55711
PIT_2,CLT_3,12422
SFO_2,SLC_3,14636
DFW_2,CVG_3,10115
SFO_2,JFK_3,41958
BWI_2,BOS_3,16641
SFO_2,LAS_3,17772
CVG_2,MEM_3,2886
STL_2,PHL_3,10402
IAH_2,EWR_3,17536
LAX_2,CVG_3,10134
PIT_2,CVG_3,10331
BOS_2,DFW_3,31532
LAS_2,STL_3,12953
IAH_2,LAS_3,7141
SFO_2,LAX_3,123061
ATL_2,DTW_3,33531
CVG_2,PHX_3,6334
PIT_2,IAH_3,5392
STL_2,PIT_3,8665
DFW_2,BWI_3,11701
LAS_2,PHL_3,2908
IAH_2,LGA_3,12319
BOS_2,STL_3,13377
CVG_2,PIT_3,9638
PIT_2,IND_3,9582
LAS_2,MSP_3,16454
IAH_2,MCO_3,12921
LAS_2,MEM_3,3544
BOS_2,EWR_3,39665
LAS_2,ORD_3,33386
PIT_2,IAD_3,6744
LAS_2,PHX_3,82347
IAH_2,LAX_3,26387
CVG_2,ORD_3,18001
PIT_2,EWR_3,16654
STL_2,PHX_3,24212
BOS_2,DTW_3,17326
LAS_2,SLC_3,20169
TPA_2,IAD_3,8253
BOS_2,CLE_3,9828
LAS_2,SFO_3,17842
SFO_2,IAH_3,16535
BOS_2,TPA_3,11810
CVG_2,PHL_3,10398
LAS_2,SEA_3,6571
DFW_2,CLE_3,6359
SFO_2,IAD_3,18213
LAS_2,PIT_3,2536
IAH_2,MEM_3,2427
CVG_2,TPA_3,7798
ATL_2,IND_3,15800
SFO_2,PHX_3,27456
TPA_2,BWI_3,12323
JFK_2,CLE_3,4354
SEA_2,IAD_3,3528
JFK_2,BWI_3,1667
IND_2,DTW_3,12457
SEA_2,IAH_3,3629
SEA_2,SFO_3,44125
ATL_2,EWR_3,46600
DCA_2,ORD_3,33493
JFK_2,BOS_3,12626
BOS_2,MEM_3,3515
JFK_2,ATL_3,4208
SEA_2,PIT_3,5025
IND_2,EWR_3,2866
DCA_2,IND_3,6260
DCA_2,IAH_3,11601
SEA_2,EWR_3,2800
SEA_2,SLC_3,11091
TPA_2,BOS_3,10508
TPA_2,DCA_3,12001
JFK_2,DTW_3,6854
SFO_2,ORD_3,46036
JFK_2,DFW_3,8229
JFK_2,DCA_3,9798
BOS_2,JFK_3,13458
DCA_2,IAD_3,81
IND_2,DCA_3,7075
JFK_2,CVG_3,1806
SEA_2,DTW_3,7231
JFK_2,CLT_3,1830
BOS_2,MIA_3,23245
SFO_2,MEM_3,4403
IND_2,DFW_3,8581
TPA_2,CLE_3,5680
BOS_2,CVG_3,9359
DCA_2,JFK_3,10180
IND_2,TPA_3,5521
IND_2,MSP_3,5074
SEA_2,MEM_3,3211
TPA_2,CVG_3,7393
SFO_2,MSP_3,16535
DCA_2,MIA_3,26893
DCA_2,MCO_3,16096
BOS_2,LGA_3,71633
TPA_2,CLT_3,16047
BOS_2,LAX_3,18376
IND_2,MEM_3,5571
DCA_2,MEM_3,7025
IND_2,LAX_3,5412
IND_2,MCO_3,5455
SEA_2,ORD_3,27149
SEA_2,MSP_3,15173
